"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"5/20/2023 8 p.m. EDT",462545,462919,457483,-5890
US48,"5/20/2023 9 p.m. EDT",458440,457304,452715,-6564
US48,"5/20/2023 10 p.m. EDT",452562,447915,444964,-7372
US48,"5/20/2023 11 p.m. EDT",438286,431929,430290,-6612
US48,"5/21/2023 12 a.m. EDT",404026,410939,410551,-5642
US48,"5/21/2023 1 a.m. EDT",398301,389439,388429,-6188
US48,"5/21/2023 2 a.m. EDT",381563,369113,371209,-6494
US48,"5/21/2023 3 a.m. EDT",365966,351729,356593,-5344
US48,"5/21/2023 4 a.m. EDT",355127,344475,346799,-4925
US48,"5/21/2023 5 a.m. EDT",338270,338772,329982,-4780
US48,"5/21/2023 6 a.m. EDT",345118,337074,336817,-4711
US48,"5/21/2023 7 a.m. EDT",344220,338437,336350,-4382
US48,"5/21/2023 8 a.m. EDT",348341,346010,340621,-4667
US48,"5/21/2023 9 a.m. EDT",359647,358388,351853,-4884
US48,"5/21/2023 10 a.m. EDT",372702,371884,364996,-5614
US48,"5/21/2023 11 a.m. EDT",385384,384946,379012,-4542
US48,"5/21/2023 12 p.m. EDT",397462,396991,391913,-4117
US48,"5/21/2023 1 p.m. EDT",409421,407667,404025,-3718
US48,"5/21/2023 2 p.m. EDT",420139,417330,414281,-3258
US48,"5/21/2023 3 p.m. EDT",428174,426870,422563,-2797
US48,"5/21/2023 4 p.m. EDT",437728,437434,432443,-3118
US48,"5/21/2023 5 p.m. EDT",449168,448328,444773,-3293
US48,"5/21/2023 6 p.m. EDT",461327,457882,455969,-4290
US48,"5/21/2023 7 p.m. EDT",468240,463397,463687,-4761
US48,"5/21/2023 8 p.m. EDT",470353,464065,465157,-4936
US48,"5/21/2023 9 p.m. EDT",468302,461558,462378,-6167
US48,"5/21/2023 10 p.m. EDT",463070,451541,456341,-5809
US48,"5/21/2023 11 p.m. EDT",445285,433848,437921,-5931
US48,"5/22/2023 12 a.m. EDT",421810,411069,413929,-5638
US48,"5/22/2023 1 a.m. EDT",398018,385790,388846,-5103
US48,"5/22/2023 2 a.m. EDT",379467,397879,370492,-4054
US48,"5/22/2023 3 a.m. EDT",365881,381541,357932,-3341
US48,"5/22/2023 4 a.m. EDT",355745,345496,346921,-4569
US48,"5/22/2023 5 a.m. EDT",353692,345308,345372,-4480
US48,"5/22/2023 6 a.m. EDT",360536,355125,350997,-5840
US48,"5/22/2023 7 a.m. EDT",375273,370772,366286,-6387
US48,"5/22/2023 8 a.m. EDT",392762,388512,380554,-6682
US48,"5/22/2023 9 a.m. EDT",407507,404487,398994,-6514
US48,"5/22/2023 10 a.m. EDT",422750,418949,415031,-5400
US48,"5/22/2023 11 a.m. EDT",435497,433807,429431,-3155
US48,"5/22/2023 12 p.m. EDT",449922,447793,443965,-2376
US48,"5/22/2023 1 p.m. EDT",463136,459806,456809,-2578
US48,"5/22/2023 2 p.m. EDT",475789,470656,468774,-3351
US48,"5/22/2023 3 p.m. EDT",489763,481539,483587,-2621
US48,"5/22/2023 4 p.m. EDT",501448,491951,495519,-2582
US48,"5/22/2023 5 p.m. EDT",512167,502277,506260,-3063
US48,"5/22/2023 6 p.m. EDT",519973,509394,513309,-3437
US48,"5/22/2023 7 p.m. EDT",520991,510588,514663,-3420
US48,"5/22/2023 8 p.m. EDT",515829,506427,509932,-3190
US48,"5/22/2023 9 p.m. EDT",508224,497629,502064,-3490
US48,"5/22/2023 10 p.m. EDT",495932,482194,488497,-4071
US48,"5/22/2023 11 p.m. EDT",473077,458485,465387,-3684
US48,"5/23/2023 12 a.m. EDT",444881,430689,437061,-3083
US48,"5/23/2023 1 a.m. EDT",418955,406068,410216,-3918
US48,"5/23/2023 2 a.m. EDT",396969,384025,387327,-3989
US48,"5/23/2023 3 a.m. EDT",380925,368779,372495,-2952
US48,"5/23/2023 4 a.m. EDT",368792,359390,360490,5541
US48,"5/23/2023 5 a.m. EDT",364288,358150,355833,4382
US48,"5/23/2023 6 a.m. EDT",369670,366972,360561,3273
US48,"5/23/2023 7 a.m. EDT",384029,381923,374653,2478
US48,"5/23/2023 8 a.m. EDT",400414,399079,391480,3421
US48,"5/23/2023 9 a.m. EDT",413498,413483,405396,4571
US48,"5/23/2023 10 a.m. EDT",426761,428277,418559,2904
US48,"5/23/2023 11 a.m. EDT",440915,442951,433524,1248
US48,"5/23/2023 12 p.m. EDT",454375,456903,446757,-393
US48,"5/23/2023 1 p.m. EDT",468147,470102,461536,-458
US48,"5/23/2023 2 p.m. EDT",480768,482117,474582,-1454
US48,"5/23/2023 3 p.m. EDT",492947,493814,486427,-2470
US48,"5/23/2023 4 p.m. EDT",503648,504750,496345,-2504
US48,"5/23/2023 5 p.m. EDT",513902,513866,508725,-2999
US48,"5/23/2023 6 p.m. EDT",520433,519871,513366,-5250
US48,"5/23/2023 7 p.m. EDT",519688,519347,513481,-4852
US48,"5/23/2023 8 p.m. EDT",513720,513573,507732,-4532
US48,"5/23/2023 9 p.m. EDT",505516,503980,498293,-4099
US48,"5/23/2023 10 p.m. EDT",494404,487543,485879,-1573
US48,"5/23/2023 11 p.m. EDT",472756,463981,464108,519
US48,"5/24/2023 12 a.m. EDT",440833,435839,436336,3006
US48,"5/24/2023 1 a.m. EDT",417778,408543,,
US48,"5/24/2023 2 a.m. EDT",395436,387922,,
US48,"5/24/2023 3 a.m. EDT",379877,371718,,
US48,"5/24/2023 4 a.m. EDT",367897,361068,,
US48,"5/24/2023 5 a.m. EDT",364297,359823,,
US48,"5/24/2023 6 a.m. EDT",370395,368342,,
US48,"5/24/2023 7 a.m. EDT",384813,383384,,
US48,"5/24/2023 8 a.m. EDT",401119,399718,,
US48,"5/24/2023 9 a.m. EDT",414968,413844,,
US48,"5/24/2023 10 a.m. EDT",427169,427253,,
US48,"5/24/2023 11 a.m. EDT",439874,440682,,
US48,"5/24/2023 12 p.m. EDT",453812,453110,,
US48,"5/24/2023 1 p.m. EDT",467323,465120,,
US48,"5/24/2023 2 p.m. EDT",480585,476680,,
US48,"5/24/2023 3 p.m. EDT",489290,488247,,
US48,"5/24/2023 4 p.m. EDT",499075,498722,,
US48,"5/24/2023 5 p.m. EDT",506046,506939,,
US48,"5/24/2023 6 p.m. EDT",,511174,,
US48,"5/24/2023 7 p.m. EDT",,509911,,
US48,"5/24/2023 8 p.m. EDT",,504300,,
US48,"5/24/2023 9 p.m. EDT",,494357,,
US48,"5/24/2023 10 p.m. EDT",,479733,,
US48,"5/24/2023 11 p.m. EDT",,457902,,
US48,"5/25/2023 12 a.m. EDT",,431842,,
